,customerid,recency,frequency,monetary,r_score,f_score,m_score,rfm_cell,rfm_score
68,0000044283,29,1,90000.0,1,1,1,111,3
69,0000028633,29,1,90000.0,1,1,1,111,3
70,0001123592,29,1,135000.0,1,1,1,111,3
71,0001119967,29,1,90000.0,1,1,1,111,3
72,0000026770,29,1,45000.0,1,1,1,111,3
73,0001137985,5,2,225000.0,3,1,1,311,5
74,0001014101,29,1,90000.0,1,1,1,111,3
75,KH3452075,6,3,270000.0,3,1,1,311,5
76,0001077175,29,1,90000.0,1,1,1,111,3
77,0001160291,29,1,90000.0,1,1,1,111,3
78,0001138341,11,2,360000.0,2,1,1,211,4
79,0001007193,29,1,90000.0,1,1,1,111,3
80,0000014122,29,1,315000.0,1,1,1,111,3
81,0001007302,29,2,225000.0,1,1,1,111,3
82,0001123375,29,1,225000.0,1,1,1,111,3
83,0000043320,29,1,90000.0,1,1,1,111,3
84,0000003803,29,1,180000.0,1,1,1,111,3
85,0001071812,29,1,90000.0,1,1,1,111,3
86,0001083663,13,2,180000.0,2,1,1,211,4
87,0001168479,29,1,315000.0,1,1,1,111,3
88,KH376765,17,4,405000.0,2,1,1,211,4
89,0001183629,19,2,180000.0,2,1,1,211,4
90,0001071124,29,1,135000.0,1,1,1,111,3
91,0001005312,29,1,45000.0,1,1,1,111,3
92,0001193399,29,2,225000.0,1,1,1,111,3
93,KH8399544,29,1,90000.0,1,1,1,111,3
94,0001077806,29,1,90000.0,1,1,1,111,3
95,0001191191,29,1,90000.0,1,1,1,111,3
96,0001004964,29,1,90000.0,1,1,1,111,3
97,0000023970,29,1,135000.0,1,1,1,111,3
98,0000028575,29,1,90000.0,1,1,1,111,3
99,0001023538,29,1,90000.0,1,1,1,111,3
100,0001071897,29,1,90000.0,1,1,1,111,3
101,0001015741,29,1,90000.0,1,1,1,111,3
102,0001181229,5,2,180000.0,3,1,1,311,5
103,0001139032,29,1,90000.0,1,1,1,111,3
104,0001023639,29,1,135000.0,1,1,1,111,3
105,0000025019,4,5,540000.0,3,1,1,311,5
106,0001013615,29,1,90000.0,1,1,1,111,3
107,0000028257,29,1,90000.0,1,1,1,111,3
108,0001023563,29,1,90000.0,1,1,1,111,3
109,0001123488,12,3,270000.0,2,1,1,211,4
110,0001139657,29,1,225000.0,1,1,1,111,3
111,0001181221,29,1,45000.0,1,1,1,111,3
112,0003004112,29,1,90000.0,1,1,1,111,3
113,0001083797,29,1,90000.0,1,1,1,111,3
114,0001078169,29,1,90000.0,1,1,1,111,3
115,0003004035,16,4,405000.0,2,1,1,211,4
116,KH5692429,18,2,225000.0,2,1,1,211,4
117,0001120977,4,3,270000.0,3,1,1,311,5
118,KH3282220,5,3,315000.0,3,1,1,311,5
119,0001135421,25,3,225000.0,1,1,1,111,3
120,0000023511,29,1,135000.0,1,1,1,111,3
121,0000028627,29,1,45000.0,1,1,1,111,3
122,KH191347,29,1,90000.0,1,1,1,111,3
123,0001167385,29,1,90000.0,1,1,1,111,3
124,0000043026,29,1,90000.0,1,1,1,111,3
125,0001070915,9,2,180000.0,3,1,1,311,5
126,0001082231,29,1,45000.0,1,1,1,111,3
127,0000024007,29,1,90000.0,1,1,1,111,3
128,0001121699,16,3,135000.0,2,1,1,211,4
129,0001135251,29,1,90000.0,1,1,1,111,3
130,KH2652182,29,1,135000.0,1,1,1,111,3
131,0001167689,29,1,90000.0,1,1,1,111,3
132,0001081541,29,1,90000.0,1,1,1,111,3
133,0000012377,29,1,45000.0,1,1,1,111,3
134,0000044228,15,2,180000.0,2,1,1,211,4
135,0003009783,17,2,270000.0,2,1,1,211,4
136,0003009776,1,8,1395000.0,3,1,1,311,5
137,0000043243,29,1,90000.0,1,1,1,111,3
138,0001083802,29,1,45000.0,1,1,1,111,3
139,0001006372,29,1,90000.0,1,1,1,111,3
140,0003009744,29,2,225000.0,1,1,1,111,3
141,0001083837,29,1,45000.0,1,1,1,111,3
142,0001136694,29,1,45000.0,1,1,1,111,3
143,0000014528,29,1,90000.0,1,1,1,111,3
144,0001138230,29,2,135000.0,1,1,1,111,3
145,0003009665,1,6,855000.0,3,1,1,311,5
146,0001023573,29,1,90000.0,1,1,1,111,3
147,0001167508,29,1,90000.0,1,1,1,111,3
148,0001138310,29,1,90000.0,1,1,1,111,3
149,0001006162,29,1,90000.0,1,1,1,111,3
150,0001120577,29,1,135000.0,1,1,1,111,3
151,0001121324,29,1,90000.0,1,1,1,111,3
152,0000027729,18,3,270000.0,2,1,1,211,4
153,0000012170,29,1,360000.0,1,1,1,111,3
154,0001161960,29,1,135000.0,1,1,1,111,3
155,0000014196,13,2,180000.0,2,1,1,211,4
156,0000026145,17,2,180000.0,2,1,1,211,4
157,0003008751,29,1,90000.0,1,1,1,111,3
158,0001083957,29,1,90000.0,1,1,1,111,3
159,0001082587,29,1,90000.0,1,1,1,111,3
160,0001136415,29,2,135000.0,1,1,1,111,3
161,0000027879,29,1,45000.0,1,1,1,111,3
162,0000010063,26,2,180000.0,1,1,1,111,3
163,0000012026,18,2,360000.0,2,1,1,211,4
164,KH6326799,4,4,495000.0,3,1,1,311,5
165,0000044954,29,1,90000.0,1,1,1,111,3
166,0000026835,29,1,90000.0,1,1,1,111,3
167,0000040649,29,1,90000.0,1,1,1,111,3
168,0001013216,29,1,90000.0,1,1,1,111,3
169,0001121450,29,1,90000.0,1,1,1,111,3
170,0003009711,1,6,720000.0,3,1,1,311,5
171,0001136175,29,1,90000.0,1,1,1,111,3
172,0001080929,29,1,90000.0,1,1,1,111,3
173,0001006033,29,1,90000.0,1,1,1,111,3
174,0001166899,29,1,135000.0,1,1,1,111,3
175,0000025063,29,1,90000.0,1,1,1,111,3
176,0001016280,1,4,360000.0,3,1,1,311,5
177,0001013170,9,2,180000.0,3,1,1,311,5
178,0001165284,29,1,45000.0,1,1,1,111,3
179,0000042383,14,2,180000.0,2,1,1,211,4
180,0001181205,29,1,90000.0,1,1,1,111,3
181,0000022947,1,2,180000.0,3,1,1,311,5
182,0001169305,29,1,90000.0,1,1,1,111,3
183,0001030013,19,2,315000.0,2,1,1,211,4
184,0001119932,29,1,135000.0,1,1,1,111,3
185,0001069252,29,2,135000.0,1,1,1,111,3
186,0001135839,29,2,270000.0,1,1,1,111,3
187,0003004121,8,3,315000.0,3,1,1,311,5
188,0000000659,29,1,90000.0,1,1,1,111,3
189,0001165988,25,2,180000.0,1,1,1,111,3
190,0001136120,29,1,90000.0,1,1,1,111,3
191,KH4287167,29,1,45000.0,1,1,1,111,3
192,0001119539,29,1,90000.0,1,1,1,111,3
193,0001135760,29,1,90000.0,1,1,1,111,3
194,0003008104,6,3,270000.0,3,1,1,311,5
195,0001013906,29,1,90000.0,1,1,1,111,3
196,0001169588,29,1,135000.0,1,1,1,111,3
197,0000000988,29,3,270000.0,1,1,1,111,3
198,0001168765,29,3,225000.0,1,1,1,111,3
199,KH5544258,29,1,90000.0,1,1,1,111,3
200,0001168050,21,2,315000.0,1,1,1,111,3
201,KH800121,29,1,90000.0,1,1,1,111,3
202,0001015254,29,1,225000.0,1,1,1,111,3
203,KH2691971,3,3,360000.0,3,1,1,311,5
204,0001185971,24,2,180000.0,1,1,1,111,3
205,0001167143,0,4,360000.0,3,1,1,311,5
206,0003009641,26,1,90000.0,1,1,1,111,3
207,0001029975,0,4,720000.0,3,1,1,311,5
208,0001007209,26,1,135000.0,1,1,1,111,3
209,0001163404,26,3,360000.0,1,1,1,111,3
210,0001166588,6,2,180000.0,3,1,1,311,5
211,0001168462,26,1,180000.0,1,1,1,111,3
212,0001083406,5,2,180000.0,3,1,1,311,5
213,0001169248,26,1,90000.0,1,1,1,111,3
214,0001137590,1,2,180000.0,3,1,1,311,5
215,0000042123,26,1,135000.0,1,1,1,111,3
216,0001136442,14,2,180000.0,2,1,1,211,4
217,0001119053,11,2,180000.0,2,1,1,211,4
218,0001015264,10,7,630000.0,3,1,1,311,5
219,0001167509,26,1,90000.0,1,1,1,111,3
220,0001083478,26,1,90000.0,1,1,1,111,3
221,0001160283,26,1,90000.0,1,1,1,111,3
222,0001192613,7,5,765000.0,3,1,1,311,5
223,0001163490,26,1,90000.0,1,1,1,111,3
224,0000000297,21,2,225000.0,1,1,1,111,3
225,0000042140,22,5,450000.0,1,1,1,111,3
226,0000041359,26,1,135000.0,1,1,1,111,3
227,0000040658,6,3,270000.0,3,1,1,311,5
228,0003009610,17,3,450000.0,2,1,1,211,4
229,0001168432,26,1,135000.0,1,1,1,111,3
230,0001121672,26,1,90000.0,1,1,1,111,3
231,0001167796,19,5,450000.0,2,1,1,211,4
232,0001022733,26,1,180000.0,1,1,1,111,3
233,0001078368,5,3,270000.0,3,1,1,311,5
234,0000026393,26,1,45000.0,1,1,1,111,3
235,0000002739,26,1,180000.0,1,1,1,111,3
236,KH7781777,26,2,135000.0,1,1,1,111,3
237,0001160738,3,4,630000.0,3,1,1,311,5
238,0001192776,25,2,225000.0,1,1,1,111,3
239,0003008172,5,7,675000.0,3,1,1,311,5
240,0000028351,4,2,270000.0,3,1,1,311,5
241,KH2635956,26,1,90000.0,1,1,1,111,3
242,0000041304,26,1,90000.0,1,1,1,111,3
243,KH5257956,12,3,360000.0,2,1,1,211,4
244,0001169986,26,1,180000.0,1,1,1,111,3
245,0001191097,26,1,225000.0,1,1,1,111,3
246,0001007146,26,2,135000.0,1,1,1,111,3
247,0000027710,26,1,90000.0,1,1,1,111,3
248,0005008810,9,6,630000.0,3,1,1,311,5
249,0001136177,8,2,180000.0,3,1,1,311,5
250,0001119976,26,1,90000.0,1,1,1,111,3
251,0001169441,26,1,90000.0,1,1,1,111,3
252,0000043537,26,1,90000.0,1,1,1,111,3
253,KH4978204,26,1,90000.0,1,1,1,111,3
254,0001124287,1,6,630000.0,3,1,1,311,5
255,0001069246,26,1,90000.0,1,1,1,111,3
256,0003004573,5,3,855000.0,3,1,1,311,5
257,0001081799,21,2,180000.0,1,1,1,111,3
258,0001136094,11,2,225000.0,2,1,1,211,4
259,0001006542,16,2,135000.0,2,1,1,211,4
260,KH7553863,26,1,90000.0,1,1,1,111,3
261,0001138672,26,1,90000.0,1,1,1,111,3
262,0000011753,26,1,90000.0,1,1,1,111,3
263,0001137650,26,1,90000.0,1,1,1,111,3
264,0001160367,26,2,225000.0,1,1,1,111,3
265,0001193387,26,1,90000.0,1,1,1,111,3
266,0000000266,26,1,90000.0,1,1,1,111,3
267,0001015346,26,1,360000.0,1,1,1,111,3
268,0001193294,26,1,90000.0,1,1,1,111,3
269,0001122192,26,1,90000.0,1,1,1,111,3
270,0001185974,26,2,180000.0,1,1,1,111,3
271,0001122258,5,5,450000.0,3,1,1,311,5
272,0001146864,26,1,90000.0,1,1,1,111,3
273,0001123163,26,3,360000.0,1,1,1,111,3
274,0001121276,26,1,90000.0,1,1,1,111,3
275,0005008184,0,8,720000.0,3,1,1,311,5
276,0001068145,26,1,180000.0,1,1,1,111,3
277,0001191126,10,2,270000.0,3,1,1,311,5
278,0001136181,26,1,90000.0,1,1,1,111,3
279,0001169246,26,2,180000.0,1,1,1,111,3
280,0001080965,26,2,270000.0,1,1,1,111,3
281,0001138234,26,1,135000.0,1,1,1,111,3
282,0000028039,26,1,90000.0,1,1,1,111,3
283,0001168289,26,1,90000.0,1,1,1,111,3
284,0001169024,26,2,360000.0,1,1,1,111,3
285,0001023409,26,2,180000.0,1,1,1,111,3
286,0001022971,12,2,135000.0,2,1,1,211,4
287,0001122081,11,4,495000.0,2,1,1,211,4
288,0000026758,14,2,180000.0,2,1,1,211,4
289,0000042593,26,1,135000.0,1,1,1,111,3
290,0001191069,14,2,270000.0,2,1,1,211,4
291,0001123579,26,1,90000.0,1,1,1,111,3
292,0000010241,26,1,90000.0,1,1,1,111,3
293,0001139695,26,1,90000.0,1,1,1,111,3
294,0001136457,26,1,135000.0,1,1,1,111,3
295,0003004487,4,2,270000.0,3,1,1,311,5
296,0000013259,26,1,90000.0,1,1,1,111,3
297,0000014321,26,1,180000.0,1,1,1,111,3
298,0000014343,26,1,270000.0,1,1,1,111,3
299,0005008316,26,1,90000.0,1,1,1,111,3
300,0001122074,26,1,90000.0,1,1,1,111,3
301,0001016132,26,1,90000.0,1,1,1,111,3
302,0000010799,26,1,90000.0,1,1,1,111,3
303,0005008225,19,2,360000.0,2,1,1,211,4
304,0003008184,3,2,180000.0,3,1,1,311,5
305,0001023450,11,2,180000.0,2,1,1,211,4
306,0001166447,9,3,270000.0,3,1,1,311,5
307,0000040461,26,1,90000.0,1,1,1,111,3
308,0001168360,26,1,90000.0,1,1,1,111,3
309,0000002231,3,2,180000.0,3,1,1,311,5
310,0000012505,16,3,270000.0,2,1,1,211,4
311,0001119696,26,1,90000.0,1,1,1,111,3
312,0001167848,26,1,135000.0,1,1,1,111,3
313,0000012084,11,2,270000.0,2,1,1,211,4
314,0001081226,26,1,270000.0,1,1,1,111,3
315,0001191102,5,3,270000.0,3,1,1,311,5
316,0001079175,26,1,90000.0,1,1,1,111,3
317,0001135668,26,1,90000.0,1,1,1,111,3
318,0000011051,26,1,90000.0,1,1,1,111,3
319,KH1812750,26,1,90000.0,1,1,1,111,3
320,0001119905,26,1,90000.0,1,1,1,111,3
321,0001071791,26,2,180000.0,1,1,1,111,3
322,0001122461,26,1,90000.0,1,1,1,111,3
323,0001168747,26,1,90000.0,1,1,1,111,3
324,0000014634,26,1,90000.0,1,1,1,111,3
325,KH9342184,5,2,180000.0,3,1,1,311,5
326,0001023628,26,3,315000.0,1,1,1,111,3
327,0000013311,26,1,135000.0,1,1,1,111,3
328,0001138015,26,1,135000.0,1,1,1,111,3
329,0001080595,26,1,45000.0,1,1,1,111,3
330,0000022728,26,2,225000.0,1,1,1,111,3
331,0001068426,26,1,90000.0,1,1,1,111,3
332,0001136198,26,1,225000.0,1,1,1,111,3
333,0000012360,26,1,90000.0,1,1,1,111,3
334,0001120623,16,2,180000.0,2,1,1,211,4
335,0001078407,26,1,180000.0,1,1,1,111,3
336,0001166314,26,1,45000.0,1,1,1,111,3
337,0000023464,11,4,630000.0,2,1,1,211,4
338,0001023090,17,2,180000.0,2,1,1,211,4
339,0001161535,26,1,180000.0,1,1,1,111,3
340,KH1697793,26,1,90000.0,1,1,1,111,3
341,0001022992,26,1,135000.0,1,1,1,111,3
342,KH3543037,26,1,90000.0,1,1,1,111,3
343,0001121384,26,1,90000.0,1,1,1,111,3
344,0001139392,26,1,135000.0,1,1,1,111,3
345,0001163446,26,1,90000.0,1,1,1,111,3
346,0000012931,8,4,450000.0,3,1,1,311,5
347,KH7894994,26,1,180000.0,1,1,1,111,3
348,0000024652,7,2,405000.0,3,1,1,311,5
349,0001023765,26,1,225000.0,1,1,1,111,3
350,0000021678,26,1,90000.0,1,1,1,111,3
351,KH5074682,26,1,90000.0,1,1,1,111,3
352,0001191133,26,2,180000.0,1,1,1,111,3
353,0001002986,26,1,90000.0,1,1,1,111,3
354,0003009654,26,1,90000.0,1,1,1,111,3
355,0000040934,26,1,135000.0,1,1,1,111,3
356,0001122104,26,1,135000.0,1,1,1,111,3
357,0001023678,26,1,90000.0,1,1,1,111,3
358,0001079495,26,1,90000.0,1,1,1,111,3
359,0001136202,26,2,180000.0,1,1,1,111,3
360,0001165751,3,2,180000.0,3,1,1,311,5
361,0000020264,26,1,90000.0,1,1,1,111,3
362,0001137568,26,1,90000.0,1,1,1,111,3
363,0000024870,2,3,270000.0,3,1,1,311,5
364,0001169461,26,1,90000.0,1,1,1,111,3
365,0000013426,0,2,225000.0,3,1,1,311,5
366,0001138364,26,1,90000.0,1,1,1,111,3
367,0001004672,26,1,90000.0,1,1,1,111,3
368,0001007331,22,2,360000.0,1,1,1,111,3
369,0001083382,19,3,270000.0,2,1,1,211,4
370,0001167946,5,2,180000.0,3,1,1,311,5
371,0001023465,26,1,135000.0,1,1,1,111,3
372,0001120469,26,1,135000.0,1,1,1,111,3
373,0001023567,6,2,270000.0,3,1,1,311,5
374,0001139728,25,2,225000.0,1,1,1,111,3
375,0001166563,26,1,495000.0,1,1,1,111,3
376,0001167429,6,2,180000.0,3,1,1,311,5
377,0001137604,21,2,180000.0,1,1,1,111,3
378,0000013449,26,1,90000.0,1,1,1,111,3
379,0003004101,16,2,225000.0,2,1,1,211,4
380,0003004561,6,4,630000.0,3,1,1,311,5
381,0001191145,26,1,90000.0,1,1,1,111,3
382,0001165076,26,3,225000.0,1,1,1,111,3
383,0001181379,5,2,180000.0,3,1,1,311,5
384,0001121618,26,1,90000.0,1,1,1,111,3
385,0001028786,26,1,135000.0,1,1,1,111,3
386,0001029826,3,2,180000.0,3,1,1,311,5
387,0001003093,26,1,90000.0,1,1,1,111,3
388,0001003096,26,2,270000.0,1,1,1,111,3
389,KH4180581,26,2,180000.0,1,1,1,111,3
390,0001004818,0,9,945000.0,3,1,1,311,5
391,0001083394,4,3,495000.0,3,1,1,311,5
392,0000021897,26,2,180000.0,1,1,1,111,3
393,0001186417,26,1,90000.0,1,1,1,111,3
394,0000012146,5,5,540000.0,3,1,1,311,5
395,0001080938,26,1,90000.0,1,1,1,111,3
396,0001169235,10,3,315000.0,3,1,1,311,5
397,0001165800,26,1,90000.0,1,1,1,111,3
398,0000041483,26,2,225000.0,1,1,1,111,3
399,0001015554,20,2,180000.0,2,1,1,211,4
400,0001079688,26,1,360000.0,1,1,1,111,3
401,0001168108,21,2,405000.0,1,1,1,111,3
402,0001006291,26,1,90000.0,1,1,1,111,3
403,0001007098,26,1,135000.0,1,1,1,111,3
404,0001119808,13,3,270000.0,2,1,1,211,4
405,0001016456,26,1,90000.0,1,1,1,111,3
406,0000013692,26,1,90000.0,1,1,1,111,3
407,KH9716916,26,1,90000.0,1,1,1,111,3
408,0001166242,11,3,270000.0,2,1,1,211,4
409,0001078155,26,1,180000.0,1,1,1,111,3
410,0003004106,7,2,225000.0,3,1,1,311,5
411,0000028923,19,2,225000.0,2,1,1,211,4
412,0003008170,26,1,90000.0,1,1,1,111,3
413,0001080179,26,1,90000.0,1,1,1,111,3
414,0001007195,26,1,90000.0,1,1,1,111,3
415,0000012182,26,1,90000.0,1,1,1,111,3
416,0000020449,26,1,90000.0,1,1,1,111,3
417,0001169758,26,1,90000.0,1,1,1,111,3
418,0001120439,24,2,180000.0,1,1,1,111,3
419,0001165540,26,1,90000.0,1,1,1,111,3
420,0000024188,26,2,180000.0,1,1,1,111,3
421,0003004066,26,1,135000.0,1,1,1,111,3
422,0001181230,19,2,225000.0,2,1,1,211,4
423,0001007346,26,1,90000.0,1,1,1,111,3
424,0001016116,26,1,180000.0,1,1,1,111,3
425,0000044726,26,1,90000.0,1,1,1,111,3
426,KH8599550,5,3,270000.0,3,1,1,311,5
427,0001169082,26,6,540000.0,1,1,1,111,3
428,0000026179,5,2,180000.0,3,1,1,311,5
429,0000044909,26,1,90000.0,1,1,1,111,3
430,0001077759,26,3,270000.0,1,1,1,111,3
431,0001161430,26,1,45000.0,1,1,1,111,3
432,KH7255341,26,1,90000.0,1,1,1,111,3
433,KH4733638,26,1,90000.0,1,1,1,111,3
434,0000013625,26,1,135000.0,1,1,1,111,3
435,0000027283,26,1,90000.0,1,1,1,111,3
436,0001135319,26,1,90000.0,1,1,1,111,3
437,0001119734,26,1,135000.0,1,1,1,111,3
438,0001119987,26,1,90000.0,1,1,1,111,3
439,0000042849,26,1,90000.0,1,1,1,111,3
440,0001168510,26,1,90000.0,1,1,1,111,3
441,0001005452,26,1,90000.0,1,1,1,111,3
442,0001165951,19,2,180000.0,2,1,1,211,4
443,0001167761,26,1,180000.0,1,1,1,111,3
444,0001069254,0,3,270000.0,3,1,1,311,5
445,0001165582,26,1,90000.0,1,1,1,111,3
446,0001167113,26,2,90000.0,1,1,1,111,3
447,0000023482,26,1,135000.0,1,1,1,111,3
448,0001191002,12,2,90000.0,2,1,1,211,4
449,0001166497,4,5,450000.0,3,1,1,311,5
450,0000034341,26,2,180000.0,1,1,1,111,3
451,0001070918,15,2,180000.0,2,1,1,211,4
452,0001118868,26,1,360000.0,1,1,1,111,3
453,0001004522,26,1,90000.0,1,1,1,111,3
454,0001166764,26,2,180000.0,1,1,1,111,3
455,0001137629,26,1,90000.0,1,1,1,111,3
456,0001165040,26,1,315000.0,1,1,1,111,3
457,0001015349,3,4,405000.0,3,1,1,311,5
458,0001191139,26,1,90000.0,1,1,1,111,3
459,0001120568,26,1,180000.0,1,1,1,111,3
460,0001120143,15,3,270000.0,2,1,1,211,4
461,0001167459,11,3,720000.0,2,1,1,211,4
462,0000003574,10,4,360000.0,3,1,1,311,5
463,0000026552,8,2,90000.0,3,1,1,311,5
464,0001013038,26,1,90000.0,1,1,1,111,3
465,0001023995,3,2,450000.0,3,1,1,311,5
466,0001186512,25,1,45000.0,1,1,1,111,3
467,0001004512,6,3,270000.0,3,1,1,311,5
468,0000004731,25,1,90000.0,1,1,1,111,3
469,0001077148,25,1,90000.0,1,1,1,111,3
470,0001069210,25,1,45000.0,1,1,1,111,3
471,KH861820,25,1,270000.0,1,1,1,111,3
472,0003008097,25,1,135000.0,1,1,1,111,3
473,0001161479,1,2,270000.0,3,1,1,311,5
474,0003004009,0,7,720000.0,3,1,1,311,5
475,0001181298,25,1,135000.0,1,1,1,111,3
476,0001079801,25,1,90000.0,1,1,1,111,3
477,0005008083,7,3,270000.0,3,1,1,311,5
478,0001006709,25,1,135000.0,1,1,1,111,3
479,0001004908,12,4,450000.0,2,1,1,211,4
480,0001191096,25,1,90000.0,1,1,1,111,3
481,0003004096,0,3,270000.0,3,1,1,311,5
482,0003009680,13,5,540000.0,2,1,1,211,4
483,0001136240,25,1,90000.0,1,1,1,111,3
484,0001006750,25,1,90000.0,1,1,1,111,3
485,0001121546,0,2,180000.0,3,1,1,311,5
486,0001029078,25,1,90000.0,1,1,1,111,3
487,0001120121,0,2,270000.0,3,1,1,311,5
488,0001121876,25,1,180000.0,1,1,1,111,3
489,0003004123,25,1,135000.0,1,1,1,111,3
490,KH6992411,25,1,135000.0,1,1,1,111,3
491,0001139458,14,2,90000.0,2,1,1,211,4
492,0000013428,25,1,90000.0,1,1,1,111,3
493,0001135589,13,5,450000.0,2,1,1,211,4
494,0001136974,7,2,180000.0,3,1,1,311,5
495,0001007013,25,2,180000.0,1,1,1,111,3
496,0001192722,25,1,90000.0,1,1,1,111,3
497,0005008230,25,1,90000.0,1,1,1,111,3
498,0001165993,25,1,90000.0,1,1,1,111,3
499,0001029500,25,1,90000.0,1,1,1,111,3
500,0001135419,25,1,45000.0,1,1,1,111,3
501,0001165065,25,1,180000.0,1,1,1,111,3
502,0000010884,2,2,180000.0,3,1,1,311,5
503,0001138229,25,1,90000.0,1,1,1,111,3
504,0001163963,25,1,180000.0,1,1,1,111,3
505,0001139303,25,1,360000.0,1,1,1,111,3
506,0001169265,0,4,180000.0,3,1,1,311,5
507,0001081638,9,3,630000.0,3,1,1,311,5
508,KH7454140,25,3,315000.0,1,1,1,111,3
509,0001005217,25,1,90000.0,1,1,1,111,3
510,0001193341,16,2,90000.0,2,1,1,211,4
511,0001167579,0,4,360000.0,3,1,1,311,5
512,0001167874,7,2,180000.0,3,1,1,311,5
513,0001138682,19,3,270000.0,2,1,1,211,4
514,0000020597,25,1,90000.0,1,1,1,111,3
515,0001165314,25,1,90000.0,1,1,1,111,3
516,0001012711,25,1,90000.0,1,1,1,111,3
517,0001146907,25,1,45000.0,1,1,1,111,3
518,0001146901,25,1,135000.0,1,1,1,111,3
519,0001080562,25,1,90000.0,1,1,1,111,3
520,0001122441,1,3,225000.0,3,1,1,311,5
521,0001167271,25,1,90000.0,1,1,1,111,3
522,0001012550,25,2,180000.0,1,1,1,111,3
523,0001083665,25,1,90000.0,1,1,1,111,3
524,0001166389,25,2,315000.0,1,1,1,111,3
525,0001135459,20,2,180000.0,2,1,1,211,4
526,0001080956,25,2,180000.0,1,1,1,111,3
527,0000000751,25,1,180000.0,1,1,1,111,3
528,0000042257,6,2,180000.0,3,1,1,311,5
529,0001137475,2,3,495000.0,3,1,1,311,5
530,0001186475,25,1,90000.0,1,1,1,111,3
531,0001161352,25,1,90000.0,1,1,1,111,3
532,0001169557,25,1,135000.0,1,1,1,111,3
