comment,time,rating,sentiment
"Các hàng ghế a-b-c khá sát màn hình. Nên mua vé xem ở các hàng ghế phía sau sẽ tốt cho mắt hơn (các bạn bị cận nên chú ý điều này). Dịch vụ rất tốt, nhân viên tận tình, kết nhất là nhân viên nào cũng chào hỏi vui vẻ với khách (y). Bắp ở đây cần thay đổi công thức 1 chút để ngon hơn.",5 năm trước,5 sao,hài lòng
"Metiz Cinema
2 Tháng 9, Hoà Cường Bắc, Hải Châu, Đà Nẵng 550000
Rạp phim mới . Hiện đại âm thanh sống động hình ảnh sắc nét tạo cho người xem …",4 năm trước,5 sao,hài lòng
mình đã đi nhiều rạp nhưng chỉ xem mỗi rạp cgv và metiz. cgv không gian thoải mái gần nhà. metiz thì không gian cũng được giá cả rẻ hơn cgv. nhưng bữa nay xem metiz thường xuyên hơn không phải vì giá cả nhưng nói thật là bắp phô mai của …,4 năm trước,5 sao,hài lòng
Có thẻ sinh viên nhưng máy ở rạp bị lỗi gì đấy nên không được giảm giá vé. Phòng chiếu không có nhà vệ sinh,9 tháng trước,2 sao,không hài lòng
"Rạp bé, ngồi ghế vip mà vẫn thấy quá sát màn hình, xem rất đau mắt. Màn hình chất lượng thấp, phim không nét, cứ bị mờ mờ.",9 tháng trước,2 sao,không hài lòng
"Rạp giá rẻ, ghế ngồi êm, màn hình đủ coi nhma máy chiếu hơi tối",7 tháng trước,4 sao,hài lòng
"Tuy mới mở nhưng rạp pv khá ok, an ninh tốt, sẽ quan sát thêm",5 năm trước,4 sao,hài lòng
"Một rạp chiếu phim hiện đại giữa trung tâm thành phố, đáng để ghé thăm cùng gia đình, bạn bè.",3 năm trước,4 sao,hài lòng
"Nhân viên bất lịch sự, rạp nhỏ, bắp dở",5 tháng trước,1 sao,không hài lòng
Nhân viên chậm chạp phụ kém. K biết bên metiz tuyển dụng có yêu cầu gì k. Chắc bán vé số củng làm đc. Phải nói nv metiz thua con bé bán vé số. Đi mấy lần k 1 lần ưng ý.,một năm trước,1 sao,không hài lòng
"Rất ổn so với giá, sảnh chờ rộng, đáng trải nghiệm khi xem phim tại đà nẵng",8 tháng trước,5 sao,hài lòng
"Lần nào đi coi phim cũng khá hài lòng vs hương vị bắp caramen đậm đà và khá ngon ở đây🥰, rạp khá thoáng và màn hình rộng, tuyệt vời😁 …",11 tháng trước,5 sao,hài lòng
"Rạp nhỏ nhỏ, xinh xinh. Nhân viên vui vẻ, thân thiện. Giá vé hợp lý. 👍 …",5 năm trước,4 sao,hài lòng
"Rạp khá mới nên ít người xem.
Mình thích sự sạch sẽ ở đây. Khách xem ở đây cũng khá là văn minh",4 năm trước,4 sao,hài lòng
"Rạp phim ở tầng trệt nên rất tiện di chuyển. Đậu đỗ xe thuận tiện, rạp rộng rãi, giá vé hợp lý, bắp ngon",một năm trước,5 sao,hài lòng
Chất lượng ổn trong tầm giá. Cần cải thiện chất lượng âm thanh và màn hình,4 năm trước,3 sao,trung bình
"Thoải mái lựa chọn phim, nhiều khung giờ, dịch vụ đặt vé cũng rất nhanh.",3 năm trước,5 sao,hài lòng
"Nhân viên giữ xe rất bất lịch sự. Lần đầu tiên xem phim ở rạp này nên mình ko rành chỗ để xe. Hỏi nhân viên giữ xe là "" a ơi rạp metiz thì để xe ở đâu"" thì 1 bạn đáp ""đây nè"" kèm theo khuôn mặt rất khinh thường, xong một bạn khác bồi thêm …",một năm trước,2 sao,không hài lòng
"Kém, bực thực sự, mất hứng",2 tháng trước,1 sao,không hài lòng
"Thứ 2 đồng giá vé 45k, còn lại 60k , ngồi ghế đôi thì thêm 5k ! Nên đặt vé trước để có ghế tốt ! Nhân viên nhiệt tình",một năm trước,5 sao,hài lòng
"Rạp khá chật chội, nếu ngồi hàng ghế dưới cùng chắc chắc sẽ bị trẹo cổ",4 năm trước,3 sao,trung bình
"I will not choose enother Cinema in Danang anymore, this is my personal movie theatre number one in the whole world now. Perfect Building design, sweet boxes(double amchair) by the same price. And only 2 Cinemas in Danang are showing Elvis, …",một năm trước,5 sao,hài lòng
"Metiz là một trong những rạp phim lớn ở Đà Nẵng. Rạp rất được các bạn trẻ và gia đình lựa chọn đến xem. Giá vé trung bình, nước uống bắp ổn. Đặc biệt có giá vé tốt cho học sinh, sinh viên và vé 45k vào ngày thứ 2.",một năm trước,5 sao,hài lòng
"Không gian rộng rãi, bên khu trò chơi có nhiều trò chơi khá vui. Rạp phim thì ok, thoải mái, am thanh đã",một năm trước,5 sao,hài lòng
"Bắp ngon, giá ok những ngày trong tuần",6 tháng trước,5 sao,hài lòng
"Rạp chất lượng cao, điều hòa lạnh toát luôn. Chỗ ngồi chờ thoải mái. Nhân viên thân thiện nhất Đà Nẵng. Có điều giữ xe 3k lận, hic",một năm trước,5 sao,hài lòng
Địa điểm xem phim phù hợp cho giới trẻ. Có các chương trình ưu đãi dành cho sinh viên. Nhân viên phục vụ nhiệt tình,một năm trước,4 sao,hài lòng
Rạp xịn bắp ok nhân viên phục vụ tốt,7 tháng trước,5 sao,hài lòng
"Rạp rộng rãi,bắp nước ngon mà ít quá,nên để xe trước rạp luôn xuống hầm mất thời gian,ghế đôi rộng nhìn cũng rõ nha,ghế thường thì chỗ để tay mở lên được,tiền vé mắc hơn so với galaxy và starlight nha",một năm trước,5 sao,hài lòng
"Rạp xem phim mới nhất tại đà nẵng.
Được đầu tư nội thất ghế da màn hình hơn hẳn các rạp khác.
Duy nhất hơi nhỏ trừ rạp số 5 ra! …",5 năm trước,5 sao,hài lòng
"2 thanh niên rủ nhau đi xem Doraemon.
Nhân viên lịch sự. Không gian chờ rộng rãi có nhiều ghế ngồi.
Combo bắp của mình là combo u22 giá 59k …",4 năm trước,5 sao,hài lòng
"Rạp chiếu rất là tuyệt vời luôn ạ :)))
Mật bí nhé, vé thành viên ở đây rẻ ngất ngây đấy (tin mình đi vì mình làm thẻ member khắp đn rùi) …",2 năm trước,5 sao,hài lòng
"Cơ sở vật chất tốt, nhân viên nhiệt tình, thân thiện, bắp ngon và giá cả khá là hợp lý. Lúc trước mới mở có nguyên một thời gian dài vé 45k, nay có lên một chút. Lúc trước ở gần mình hay xem ở đây cuối năm tổng điểm lên tv VIP được nhiều ưu đãi và quà tặng lắm các bạn",2 năm trước,5 sao,hài lòng
Chổ để xe nắng. Không có dù che hoặc các miếng che yên xe. Đi coi phim buổi trưa ra ngồi xe muốn chín cái mông.,một năm trước,5 sao,hài lòng
"Chợ đêm Helio có rất nhiều lựa chọn cho ăn uống, có sân khấu ngoài trời, nhộn nhịp, đông vui, khách Hàn Quốc rất thích địa điểm này. Ngoài ra bên trong là khu vui chơi dành cho các baby và các bạn teen. Rạp chiếu phim với giá vé thấy hơn các rạp khác.  I like!",4 năm trước,4 sao,hài lòng
"Lotte cinema hết xuất chiếu nên lần đầu tới xem phim ở đây, nhưng trải nhiệm cũng khá ấn tượng dù là rạp hạng trung. Cũng là một trong những rạp có mức vé hợp lý nhất khi có thẻ thành viên. Mà mua combo ở đây hơi nhỏ hơn so với các rạp …",4 năm trước,5 sao,hài lòng
Rạp khá nhỏ. Ngồi dãy A B là xác định gãy cổ,8 tháng trước,3 sao,trung bình
"Rạp mới, ko gian thoáng, rộng, giá vé phải chăng so với các cụm rạp khác, phim cập nhật và giờ chiếu cũng có nhiều lựa chọn. So với Lotte cinema ở cùng địa bàn thì nhỉnh hơn 1 chút trên phương diện ko gian & giá vé.",5 năm trước,5 sao,hài lòng
Phòng chiếu hơi nhỏ,6 ngày trước,4 sao,hài lòng
Đẹp và sang trọng.,11 tháng trước,5 sao,hài lòng
Trung tâm giải trí gần nhà.,4 năm trước,5 sao,hài lòng
"Thích vì giá cả sinh viên nhưng chất lượng không tồi. Giá chỉ 45k, màn hình rộng, bắp ngonn :)) được cái gần Helio, qua dạo luôn cũng tiện",3 năm trước,5 sao,hài lòng
Metiz cinema. Trong khuôn viên kèm với cả Helio. Tổ hợp vui chơi giải trí,4 năm trước,5 sao,hài lòng
"Giá vé mềm hơn CGV một chút, rạp đẹp, nói chúng là OK, thêm điểm cộng là bước vào là tới ngay, khỏi phải leo cả mấy tầng lầu như mấy rạp  trong siêu thị, bên cạnh là khu trò chơi, bước ra một chút là chợ đêm helio với vô vàn đồ ăn ngon, check in selfie bá cháy. Tóm lại là tiện.",2 năm trước,4 sao,hài lòng
"cơ sở vật chất tốt, không gian rộng, chỗ đậu xe thuận tiện",một năm trước,4 sao,hài lòng
"Mình thích nhất là để xe ngoài trời, rất thoáng và tiện. Hàng ghế cuối của rạp là ghế đôi thích cực kỳ loại ghế này luôn rộng rãi, thoải mái. Không gian quầu mua vé kiểu hoài cổ tự sướng thì hết xẩy. Giá vé rẻ hơn nhưng thay vào đó thì không gian rạp chiếu hẹp, âm thanh phim nghe k phê.",4 năm trước,4 sao,hài lòng
"Rạp phim khá rộng, giá vé sinh viên. Ko quảng cáo quá nhiều. Những thông điệp như cấm hút thuốc hay cấm quay phim trong rạp làm khá thú vị. Thêm những dòng cảm ơn như này thấy dễ thương.",4 năm trước,5 sao,hài lòng
"Âm thanh màn hình đều ổn, giá mềm hơn ở CGV Vincom, nếu xem ở phòng số 5 (phòng lớn) thì chọn ghế hàng G, còn xem ở các phòng nhỏ hơn thì chọn hàng ghế gần áp chót.",5 năm trước,5 sao,hài lòng
"Quán CF có phong cách trang trí rất đẹp, một chỗ dừng chân lý tưởng khi chờ để xem phim hay sau khi đã rảo bước ở chợ đêm Helio",3 năm trước,5 sao,hài lòng
"nhân viên nhăn nhó khó chịu, rạp thì ko có wc phải chạy ra ngoài xa léc, phim đang chiếu dở thì bật đèn chẳng hiểu để làm gì.... nói chung là quá tệ thua xa lotte và cgv! sẽ ko bao h quay lại lần thứ 2",4 năm trước,1 sao,không hài lòng
"Trước là fan ruột của CGV nhưng giờ tôi chuyển qua xem Metiz luôn vì gần nhà. Giá vé hợp lý, bắp rang ngon. Thích nhất vụ ghế ngồi bằng da ngồi mát mà không đau mông 😂 …",5 năm trước,5 sao,hài lòng
"Rạp hơi nhỏ, ghế ngồi hơi khó chịu, trong lúc hoạt động có vài vana đề cần phải khắc phục",một năm trước,4 sao,hài lòng
"Nhân viên ở đây được cái cười đẹp. Buổi đầu mới mở ra như thế la ok. chất lượng thi hoàn toàn không kém cgv với lotte đâu nhé. Không gian thiết kế kiểu phố cổ Hội An, nằm ngay bên trong Helio, rất đáng thử",5 năm trước,5 sao,hài lòng
"Rạp thuộc Helio * Đơn giản, chuyên nghiệp, nhân viên thân thiện, giá vé rẻ hơn so với những rạp khác. …",5 năm trước,5 sao,hài lòng
"Trong rạp nên có nhân viên nhắc khách là không làm ồn ào, với gác chân lên ghế, chứ đang tập trung xem mà ngửi thấy mùi chân hôi ngất thì sao còn tâm trí coi fim được",3 năm trước,2 sao,không hài lòng
"Xem không thích lắm vì đi hai lần đều có mùi rất khó chịu và đau đầu. Ghế cũng khá cứng và không thoải mái, màn hình nhỏ. Điểm cộng duy nhất là giá vé rẻ, có nhiều ưu đãi cho thành viên, nhân viên phục vụ tận tình và dễ thương.",5 năm trước,3 sao,trung bình
"Rạp nên xem lại khoảng cách giữa màn hình và 2 hàng ghế đầu, thực sự là chỉ nhìn được sub vô cùng khó chịu, trong khi chất lượng âm thanh và ghế ngồi cũng ở mức rất bình thường",4 năm trước,1 sao,không hài lòng
"mình đi vào ngày mưa, phòng xem phim mở điều hòa thấp nên hơi lạnh 😬😬 …",một năm trước,5 sao,hài lòng
"Rạp nhiều phim hay và mới. Ghế ngồi thoải mái. Có ghế đôi cho tình nhân. Có bán bắp rang và nước. Trang trí khá đẹp, thích hợp sống ảo vô đối.",4 năm trước,5 sao,hài lòng
"Rạp đẹp ,sạch nhưng chưa quản lý về sự trật tự , ý thức của người xem trong rạp ( cười nói ồn ào đùa giỡn nhau , nghe điện thoại nói chuyện to ) . Về việc này các rạp khác quản lý rất chặt chẽ , ồn ào có thể mời ra. Nhưng bên đây thì chưa …",5 năm trước,3 sao,trung bình
Rạp phim thoáng .nhân viên siêu dễ thương view thì quá đẹp .Giá cả phải chăng sẽ tiếp tục ủng hộ ❤❤❤❤,2 năm trước,5 sao,hài lòng
"Rạp phim đẹp có nhiều nơi chụp hình khá là ok
Màn hình rộng thoải mái bắp nước ngon và giá khá là ok
Nhân viên dễ thươnh nhiệt tình",3 năm trước,5 sao,hài lòng
"Mặc dù người khen kẻ chê nhưng mình vẫn rất thích Metiz !
Rạp mới nên khác sạch sẽ và thoáng. Ở ngoài quầy vé thì view xinh cực, tha hồ sống ảo. …",4 năm trước,5 sao,hài lòng
"Một thương hiệu mới nhưng khá là chuyên nghiệp . phòng chiếu không lớn nhưng sắp xếp các dãy ghế khá là thoải mái thuận tiện di chuyển.
Rạp số 3 cảm giác âm thanh hơi bị vang. …",5 năm trước,4 sao,hài lòng
"- rạp sạch sẽ
- nhân viên đẹp, phục vụ tận tình
- giá vé và nước bình dân …",3 năm trước,5 sao,hài lòng
"Suất 10h45 hàng ngày khá vắng, phù hợp cho trẻ đi để tránh gây ồn người khác",một năm trước,5 sao,hài lòng
"Nhà vệ sinh quá xa phòng chiếu.
Số rạp hiển thị đỏ trắng bị che khuất.
Số ghế chờ không đủ chỗ cho mọi người.
Chỗ để xe không có mái che, nắng mưa sấp mặt.",5 năm trước,3 sao,trung bình
"Metiz là một rạp chiếu phim mới của Đà Nẵng.mình rất thích nơi này và đến rất nhiều lần. Giá vé rẻ, rạp lớn và đẹp. Đi xem phim xong bạn có thể dạo chợ phiên Helio.",4 năm trước,5 sao,hài lòng
"Khu vực sảnh decor đẹp và rộng mà vào rạp thi hơi bé xíu, mà chất lượng xem phim thì ổn, giá cả hợp lý.",3 năm trước,4 sao,hài lòng
"Mình là thành viên VIP bên rạp CGV, nhưng gần đây thường xuyên yêu thích ghé rạp Metiz vì các ưu điểm sau:
- Gần nhà bạn gái hơn 😆 …",5 năm trước,5 sao,hài lòng
"Quá tuyệt vời, rạp rộng rãi thoáng đã, chất lượng tuyệt hảo. Giá vé lại cực ưu đãi . sẽ ủng hộ 👍 …",4 năm trước,5 sao,hài lòng
"Giá xem phim hay đồ ăn đều rẻ, chỗ ngồi thoáng mát rộng rãi. Nhân viên dễ thương.
Duy nhất 1 điểm trừ: Nhà vệ sinh hơi xa!",5 năm trước,5 sao,hài lòng
Khá ok! Trời lạnh ni đi xem vs ng iu là đúng bài,một năm trước,4 sao,hài lòng
"Rạp số 5 là rạp to, xem phim mới phê, còn lại rạp nhỏ, ko phê lắm.
Có điều ở trung tâm, trong khuôn viên Helio nên cái gì cũng tiện
Được",4 năm trước,4 sao,hài lòng
Rạp tốt . Đồ ăn ngon lắm nhưng khuyên các nhân viên hãy cố gắng nhắc nhở khách bớt ồn khi đang xem phim,4 năm trước,4 sao,hài lòng
"Không gian đẹp, hình ảnh và âm thanh chuẩn
Thái độ phục vụ của nhân viên rất tốt
Giá thành phải chăng và được xem phim với hình ảnh chất lượng. Nên ghé nhiều lần để đi.",4 năm trước,5 sao,hài lòng
"Nhân viên thân thiện, giá cả rẻ hơn rất nhiều rạp phim khác, bắp rất ngon, siêu thích bắp caramen ở đây luôn, ghế ngồi thoải mái, nhân viên trong rạp siêu thân thiện, rất quan tâm đến khách hàng, đồ uống ok, nên gọi size vừa là hợp lí, nếu uống size lớn kiểu gì cũng sẽ dư vì rất nhiều. Thích nhất thái độ nhân viên.",4 năm trước,5 sao,hài lòng
"Rạp mới xịn, có nhiều bộ phim hay, hấp dẫn. Nhưng hơi có mùi phòng và vẫn hơi ồn. Giá vào sau 17h còn hơi cao so với các bên khác.Cần cải thiện nhiều hơn.",4 năm trước,4 sao,hài lòng
"Giá vé rẻ, rạp chiếu phim sạch sẽ, thoải mái",một năm trước,5 sao,hài lòng
"Rạp mới xây rất đẹp, dịch vụ tốt. Nhân viên tư vấn nhiệt tình, dễ thương. Không gian lãng mạn. Rất thích hợp cho các bạn trẻ checkin chụp hình.",5 năm trước,5 sao,hài lòng
"giá vé xem phim là rẻ nhất ở Đn rồi, bắp nước cũng rẻ nữa, có điều rạp nếu mà ngồi hàng ab là một ác mộng",4 năm trước,4 sao,hài lòng
"Giá cả phải chăng với nhiều ưu đãi. Rạp thoáng mát sạch sẽ, nhân viên nhiệt tình",3 năm trước,5 sao,hài lòng
"Điểm hẹn lý tưởng cho cuối tuần. Rạp mới và ổn, giá cả phải chăng. Xem xong phim lại lượn lờ chợ đêm ăn, uống, nghe ca nhạc miễn phí,...",4 năm trước,4 sao,hài lòng
"Không gian mát mẻ , đi dạo nắng nóng vào trong ngồi rất mát",một năm trước,5 sao,hài lòng
"Metiz nằm trong Helio nên gần với khu chợ đêm - địa điểm rất nổi tiếng với giới trẻ Đà Nẵng. Metiz có 5 rạp và còn phong cách bài trí theo kiểu phố cổ Hội An, rạp Metiz còn rất mới, tuy nhiên ghế hơi gần màn hình nên đôi khi mắt bị mỏi :)",5 năm trước,4 sao,hài lòng
"Chất lượng phim ổn so với giá tiền. Có lần mình đi xem muộn, bắp khá ỉu, k thấm vị. Định cho 4 sao nhưng nghĩ lại những lần làm đổ nước họ vẫn luôn niềm nở bảo k sao, k có tí nhăn nhó nào nên rất hài lòng.",4 năm trước,5 sao,hài lòng
"Rạp chiếu phim tương đối tốt, nhân viên ổn. So với mặt bằng chung thì giá vé còn cao!",4 năm trước,4 sao,hài lòng
"Rạp film ok, nhưng để xe khách ngoài nắng ... mưa. Quá tệ từ cái nhìn đầu tiên",4 năm trước,1 sao,không hài lòng
"Tôi rất thích không gian ở rạp Metiz nhất là rạp số 5, rất rộng, sức chứa lớn nhưng điều hoà hơi lạnh khuyên các bạn nên đem áo khoác mỏng",4 năm trước,5 sao,hài lòng
"Nhân viên tốt, phục vụ ăn uống rất ngon và chất lượng film tạm ổn chưa hẳn là đẳng cấp cho người xem film",3 năm trước,4 sao,hài lòng
Giá cả hợp lý đã thế chất lương phục vụ tốt và đặc biệt bắp rất là ngon,một năm trước,5 sao,hài lòng
"Cho 5 sao vì mình thích thế :3 chắc do may mắn chọn toàn suất chiếu ở phòng bự nhất, cũng từng coi ở những phòng rạp bé hơn, hơi khó chịu, nhân viên làm việc nhanh nhẹn, khu vực chờ rộng thoải mái,,...",4 năm trước,5 sao,hài lòng
"rạp đẹp, mới, nhân viên phục vụ tốt, nhưng hơi nhỏ so với lotte, galaxy hay cgv,.. nên màng hình gần quá.",5 năm trước,5 sao,hài lòng
"Rạp thoáng đẹp, âm thanh cực hay, thái độ nhân viên nhiệt tình, ko chê vào đâu đc",2 năm trước,5 sao,hài lòng
Rất ổn với tầm giá,6 tháng trước,5 sao,hài lòng
"Rạp sạch sẽ, điều hòa bật nhiệt độ hơi thấp nên lạnh queo :v có nhiều phòng hơi nhỏ nên chọn ghế ngồi ở xa xem cho đỡ đau mắt",4 năm trước,4 sao,hài lòng
"Rạp chiếu phim khá là đông người, rộng, giá vé lại vô cùng rẻ, phim 2D chỉ với 45k/1 vé",4 năm trước,4 sao,hài lòng
"Rạp hơi nhỏ so với những rạp khác nhưng chi phí tốt, sạch sẽ, phòng có nhiệt độ vừa phải .",4 năm trước,4 sao,hài lòng
Xem ok,một năm trước,4 sao,hài lòng
